address, balance_nyzo, in_cycle, in_queue, drop_rules, drop_amount, dropped_amount, trx_id, height
0183c2e8505a2e4f44c048efa04465484e52e2421baca94d6df84cf60012c042,879602148,0,0,0+,125000000,125000000,tx__J080005Zqmhtw000000000010pf2Y51rbB.4N4AMF4hCi4XiWB8sIaCdswyc.x0iN48000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc31QoGR3NspCSZYd7Xt8P7yCW-Ly9a794c0X8oJ4cFvVPNQRHH5o-5iyNHCTHZpfD1sfHhntqM2Wqm~_a7qsvd-excfA~K-d,13242261
01893154cb0df96e39b60d154cf4b3eb752bab51f7c431f2e2e799b0beea0c62,420386965,0,2,0+,125000000,125000000,tx__J080005Zqm0fK000000000010pBPmcJd~nWXKxSmjfiRYVkIHT7VP37QWLvqJbZH368000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc33fN5Z16Xqa4VM2CRN5TAp_yu886kvh5qyByGjgN80jK7vCAHJxKWoD_tY0DnvQwCnr-NXB1dAFgChqJz80syJ8Gcv_hfdw,13242221
0198d05d313dacc956ee3fb80726e5d5b0829dbdf4059029c4027e6ade0b2a4f,570433807,0,2,0+,125000000,125000000,tx__J080005ZqogNZ000000000010qAgoj4.IcCnZA~W1QsCTs22EsVS1q0GP09~rKWbaB-000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc30d.2orZI0ba2Gj4DWWk5NNN5MKJ9ayQ5qn_B77rNjeQGgeRBAIRiZ7mfwDjoHsmDGSWHDdA0UDYirNH--JQfFdxhg7b6xY,13242559
019ab0de2a64c8159c290c4fb20131f51598203ef3629e18c97cfc6d6b1cee5e,7041669,1,0,2+,50000000,50000000,tx__IN80005ZqkQC6000000000010qHNVzGBQ1ntagPfJx4P.hnp83ZRpGWpQoR-snJtZCW000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5mhkeBq1im94kB.geAkNbA0Nc30Nc6cH2_8K8Cqp.yEfRykI9esLUq1y2FSox3BL155Bh7qJS6J0xvK_RLy5FLLiduk7H9w_GTSzCPijhbK_X7egm0._dRCe,13242189
01c84a5522f53e1aaba095c017920eb130781b5b4573d9499b9b82cd69501fc4,70227097,1,0,0+2+,175000000,175000000,tx__J080005Zqn8qI000000000010tyamibTfyHIF9o05X8eJj1W6TK5t.C9DXL2RnCg7-g000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc326.M24HJFNsXI45QEzxEDNRPriD7dgj~ZfSANaTIuN-Z~kA3usJHpG03QrQiXgFQD9D7KZBnIPaPjgi_ExjcxcCn6yJNQS,13242390
01d155e22ae15207b928dd95eaf15550e89a48baaf2406be403db74ed6f2fd04,10972254,0,0,0+,125000000,125000000,tx__J080005Zqosc7000000000010u5mWzIykxvXadUmYM5mkezribHM90r~g3UVjKsQ_gg000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc312v9goq0YgLIz_.nCT.ovWmF2EUPEzzjiCX36TSFk6H42~C7gzSbsyGGYzzEvhLvU3HuMoo75ZLdx8ptD.CD84CMs6VE4R,13242584
01d9639aa12cd08a652f288da5232c1b10613ca73702567952e45594338dad52,224211750,0,0,0+,125000000,125000000,tx__J080005Zqnyhv000000000010uCADH4JS8GCbQzdGicJ6P1yfatV0CqXkLhmC3edIm8000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc33mcfSVQcCCY_IkQnIsFDn~Z4UgX3r5QC4U2HImC1p6nzI68RQfzhjVziZDJ8K0Hph0yoeqFqHVQ.1vn350jSB7DnSJL8FT,13242448
01e3716c1f89ce9deceab6b53d6ded3739c8199137ff14586598f80fdd82909c,934463369,0,0,0+,125000000,125000000,tx__J080005ZqnEM9000000000010vdPs1~9RGVJYIrTfnVKdRE86q4V_PhpqqAW3.U2B9N000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc33YsVt6K-IZiBLoYkUu_1z2psYx~mf58~m57eV~fygGa3yh~ow-fdZ79FKHxrPUykq_CYjnz-nNMo9hAFfcYhJ9kT-N7QLH,13242463
01fe087c5aeec1e4e5c09eb87fbe502557aae392791049b889c0a270feea5f37,6883823703,1,0,0+2+,175000000,175000000,tx__J080005Zqm08I000000000010wW8w5ILNvjCN9YWwZXg9mvHWX9X44DWzt2ztfZHoRt000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc31E7HY763R_D5mm-68Hsf09z5Mi13-21DsCmTfJo5hn5_BVK6X6TBNRvzA7uYU1TPqLFE7JrCM0t~x4_FTrwWk0is4GMtR3,13242221
021a831af6fe1fd5a05432c08fe133f763eda3f7cb1440d6225c97e5ad9a9aa3,34737346505,0,0,0+,125000000,125000000,tx__J080005Zqcdt.000000000010yH36Ms~7.nxm3b0A~4R.UfKF_wb543n8CQoXrUrDHc000000cFa02Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc31K3U7cZZcYMvvUn_SmnzP4Tf3DQUjE1~gv39Ap.bi1IVzddNCSZr8htUAnsWIziVCjz~eYTwqI6M8NhQRi~k-fQi3~Ii7b,13240904
